question_id,key,prompt,response,instruction_id_list,prompt_level_strict_acc,prompt_level_loose_acc,inst_level_strict_acc,inst_level_loose_acc
0,1000,"เขียนสรุปคำมากกว่า 300 คำของหน้าวิกิพีเดีย ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"" อย่าใช้เครื่องหมายจุลภาคและไฮไลต์อย่างน้อย 3 ส่วนที่มีชื่อในรูปแบบมาร์กดาวน์ เช่น *ส่วนที่ไฮไลต์ส่วนที่ 1*, *ส่วนที่ไฮไลต์ส่วนที่ 2*, *ส่วนที่ไฮไลต์ส่วนที่ 3*",*ส่วนที่ไฮไลต์ส่วนที่ 1* รายด์เฟรเดอริกที่ 3 แห่งไตรโปเปียเป็นขุนนางแห่งตุรกีที่มีบทบาทสำคัญในยุคกลาง เขาเกิดในปี คศ 1170 เป็นบุตรชายของอเมรีและมาร์กาเร็ตแห่งตริโปลี เขาได้รับตำแหน่งเจ้าผู้ครองตุรกีในปี คศ 1187 หลังจากที่อเมรีเสียชีวิต เขาเป็นผู้นำทางการทหารที่แข็งแกร่งและมีกลยุทธ์การทูตที่ชาญฉลาด เขาต่อสู้กับจักรวรรดิไบเซนไทน์และได้รับชัยชนะในยุทธการที่เมืองซัลลาในปี คศ 1187 *ส่วนที่ไฮไลต์ส่วนที่ 2* เขาเป็นผู้นำที่มีความกล้าหาญและมีความสามารถในการจัดการกับศัตรูทั้งภายในและภายนอก เขาเคยถูกกล่าวหาว่ามีความสัมพันธ์กับมุสลิมแต่เขาไม่เคยเปลี่ยนใจและยังคงรักษาความมั่นคงของรัฐไว้ได้แม้ในช่วงเวลาที่ยากลำบาก เขาเสียชีวิตในปี คศ 1188 ด้วยวัยเพียงสิบหกปีแต่ความกล้าหาญของเขาได้สร้างแรงบันดาลใจให้กับผู้สืบทอดต่อมา *ส่วนที่ไฮไลต์ส่วนที่ 3* รายด์เฟรเดอริกเป็นขุนนางผู้มีอิทธิพลในยุคกลางและเป็นที่รู้จักในชื่อ 'Raymond III' ซึ่งเป็นชื่อที่ใช้ในเอกสารโบราณหลายฉบับ เขาเป็นตัวแทนของราชวงศ์ตุรกีที่มีบทบาทสำคัญในการรักษาความมั่นคงของดินแดนในตะวันออกกลาง เขาไม่เคยยอมแพ้ต่อแรงกดดันจากจักรวรรดิไบเซนไทน์แม้จะเผชิญกับสงครามหลายครั้ง เขาเป็นผู้นำที่มีความกล้าหาญและมีความสามารถในการจัดการสถานการณ์ที่ซับซ้อน เขาไม่เคยยอมให้ศาสนาหรือความกลัวมาขัดขวางการตัดสินใจของเขา เขาเป็นผู้นำที่มีความรับผิดชอบและมีความมุ่งมั่นในการรักษาอำนาจของเขาแม้ในช่วงเวลาที่ยากลำบาก เขาเป็นตัวอย่างของขุนนางที่มีบทบาทสำคัญในยุคกลางและเป็นที่รู้จักในประวัติศาสตร์ยุโรป เขาเป็นผู้นำที่มีความกล้าหาญและมีความสามารถในการจัดการกับสถานการณ์ที่ยากลำบาก เขาไม่เคยยอมแพ้ต่อแรงกดดันจากภายนอกและยังคงรักษาความมั่นคงของรัฐไว้ได้แม้ในช่วงเวลาที่ยากลำบาก เขาเป็นผู้นำที่มีความกล้าหาญและมีความสามารถในการจัดการสถานการณ์ที่ซับซ้อน เขาไม่เคยยอมให้ศาสนาหรือความกลัวมาขัดขวางการตัดสินใจของเขา เขาเป็นผู้นำที่มีความกล้าหาญและมีความสามารถในการจัดการสถานการณ์ที่ยากลำบาก,"['punctuation:no_comma', 'detectable_format:number_highlighted_sections', 'length_constraints:number_words']",True,True,"[True, True, True]","[True, True, True]"
1,1001,ฉันกำลังวางแผนไปเที่ยวญี่ปุ่น และอยากให้คุณเขียนแผนการเดินทางของฉันในสไตล์เชคสเปียร์ คุณไม่ได้รับอนุญาตให้ใช้ลูกน้ำในการตอบกลับของคุณ,เช้าตรู่ที่โซโมริชิ ชายหาดที่เงียบสงบ ดินทรายขาวสะท้อนแสงตะวัน ลมพัดเบาๆ ดั่งเสียงระฆังวัดกลางคืน คืนนี้ที่โตเกียว ดวงดาวส่องประกายเหมือนดาวเคราะห์ในคืนที่เงียบสงบ,['punctuation:no_comma'],True,True,[True],[True]
2,1005,"เขียนเรซูเม่สำหรับผู้สำเร็จการศึกษาระดับมัธยมปลายที่เพิ่งจบใหม่ที่กำลังมองหางานแรก ตรวจสอบให้แน่ใจว่าได้รวมตัวยึดตำแหน่งอย่างน้อย 12 ตัวซึ่งแสดงด้วยวงเล็บเหลี่ยม เช่น [ที่อยู่], [ชื่อ]","[ชื่อ]: นนท์นภัส ศรีสุข
[ที่อยู่]: 123 ถนนประชาธิปไตย, กรุงเทพฯ
[เบอร์โทร]: 081-234-5678
[อีเมล]: nonnapat@email.com
[การศึกษา]: สำเร็จการศึกษาระดับมัธยมปลาย โรงเรียนสตรีวิทยา 2567
[ทักษะ]: ใช้งานคอมพิวเตอร์พื้นฐาน, ภาษาอังกฤษพื้นฐาน, การทำงานเป็นทีม
[ประสบการณ์งาน]: อาสาสมัครที่ศูนย์ชุมชน (6 เดือน)
[เป้าหมายอาชีพ]: ต้องการเริ่มต้นอาชีพในสายงานบริการลูกค้า
[ผู้ติดต่ออ้างอิง]: คุณสมชาย ผู้จัดการศูนย์ชุมชน
[วันที่]: 5 เมษายน 2567
[ตำแหน่งที่สมัคร]: พนักงานบริการลูกค้า
[บริษัท]: บริษัท ซันไรส์ จำกัด
[เอกสารแนบ]: สำเนาใบประกาศนียบัตร
[ภาษา]: ไทย
[สถานะ]: อยู่ในขั้นตอนการสมัคร
[เว็บไซต์]: www.company.com
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [ไม่มี]
[รหัสพนักงาน]: [ไม่มี]
[ชื่อบริษัท]: [",['detectable_content:number_placeholders'],True,True,[True],[True]
3,102,"เขียนบทสนทนาระหว่างคนสองคน คนหนึ่งสวมชุดบอลกาวน์ และอีกคนสวมชุดเหงื่อออก ทั้งสองจะไปงานกลางคืน คำตอบของคุณต้องมีสัญลักษณ์แสดงหัวข้อย่อย 3 จุดในรูปแบบมาร์กดาวน์ (ใช้ ""* "" เพื่อระบุสัญลักษณ์แสดงหัวข้อย่อยแต่ละรายการ) เช่น:
* นี่คือจุดแรก
* นี่คือจุดที่สอง","* ผู้ชายในชุดบอลกาวน์ถามว่า ""เธอจะไปงานกลางคืนด้วยชุดเหงื่อออกแบบนี้ยังไงล่ะ?"" 
* ผู้หญิงในชุดเหงื่อออกตอบว่า ""ฉันแค่ต้องการความสบายและไม่กลัวเหงื่อออก แถมยังดูเท่ด้วยนะ"" 
* ทั้งคู่หัวเราะและเดินไปที่งานกลางคืนพร้อมกัน",['detectable_format:number_bullet_lists'],True,True,[True],[True]
4,1069,"เขียนเทมเพลตอีเมลขนาดยาวที่เชิญกลุ่มผู้เข้าร่วมเข้าร่วมการประชุม โดยมีคำศัพท์อย่างน้อย 500 คำ อีเมลต้องมีคำว่า ""เกี่ยวข้อง"" และ ""ประสบการณ์"" และไม่ควรใช้เครื่องหมายจุลภาคใดๆ",เรียนเพื่อนร่วมงานทุกท่านเราขอเชิญคุณเข้าร่วมการประชุมเชิงลึกที่จะจัดขึ้นในเดือนหน้าซึ่งจะจัดขึ้นที่ศูนย์ประชุมแห่งชาติเพื่อแลกเปลี่ยนความรู้และแนวคิดใหม่ๆ ที่เกี่ยวข้องกับการพัฒนาทักษะดิจิทัลในยุคดิจิทัลที่เปลี่ยนแปลงอย่างรวดเร็วการประชุมครั้งนี้ไม่ใช่เพียงการฟังคำพูดจากผู้เชี่ยวชาญเท่านั้นแต่เป็นการสร้างโอกาสในการเชื่อมโยงความคิดและสร้างเครือข่ายที่มีคุณค่าอย่างยิ่งเราเชื่อว่าประสบการณ์ของคุณในด้านการเรียนรู้และการทำงานในสภาพแวดล้อมที่ท้าทายจะช่วยให้เราเข้าใจปัญหาที่ซับซ้อนได้ลึกซึ้งยิ่งขึ้นการประชุมนี้จัดขึ้นเพื่อให้คุณได้พูดคุยกับผู้นำในอุตสาหกรรมที่กำลังเปลี่ยนแปลงโลกและได้รับรางวัลระดับนานาชาติจากองค์กรชั้นนำทั่วโลกเราเชื่อว่าประสบการณ์ที่คุณจะได้รับในวันนี้จะไม่สามารถหาได้จากหนังสือหรือวิดีโอออนไลน์ใดๆนอกจากการประชุมนี้เท่านั้นเราเตรียมอาหารกลางวันเครื่องดื่มและช่วงเวลาพักผ่อนที่ออกแบบมาเพื่อให้คุณได้พูดคุยกับเพื่อนร่วมงานอย่างเป็นกันเองและสร้างแรงบันดาลใจร่วมกันเราหวังว่าคุณจะสามารถเข้าร่วมกับเราในวันพรุ่งนี้และร่วมสร้างประสบการณ์ที่เปลี่ยนแปลงชีวิตคุณและองค์กรของคุณอย่างแท้จริงการลงทะเบียนสามารถทำได้ที่เว็บไซต์ของเราและเราจะส่งอีเมลยืนยันการเข้าร่วมให้คุณภายในวันศุกร์นี้เราเชื่อว่าทุกคนที่เข้าร่วมจะได้รับข้อมูลที่ลึกซึ้งและสามารถนำไปใช้ได้จริงในชีวิตประจำวันของคุณและองค์กรของคุณเราหวังว่าคุณจะตอบรับคำเชิญนี้และเข้าร่วมกับเราในวันสำคัญนี้เพราะประสบการณ์ที่คุณจะได้รับจะเปลี่ยนมุมมองของคุณต่อโลกการทำงานอย่างถาวร,"['keywords:existence', 'length_constraints:number_words', 'punctuation:no_comma']",False,False,"[True, False, True]","[True, False, True]"
5,1072,เขียนบล็อกโพสต์ที่มีคำ 400 คำขึ้นไปเกี่ยวกับประโยชน์ของการนอนในเปลญวน,การนอนในเปลญวนเป็นทางเลือกที่ชาญฉลาดและยั่งยืนสำหรับผู้ที่ต้องการฟื้นฟูร่างกายและจิตใจอย่างลึกซึ้ง เปลญวนมีคุณสมบัติในการรองรับร่างกายอย่างสมดุล ช่วยลดแรงกดที่จุดสำคัญ เช่น สะโพกและไหล่ ทำให้กระดูกสันหลังอยู่ในตำแหน่งธรรมชาติ ลดอาการปวดหลังและปวดคอที่เกิดจากการนอนในที่มืดหรือพื้นแข็ง การนอนในเปลญวนยังช่วยให้ร่างกายผ่อนคลายอย่างเป็นธรรมชาติ ไม่มีการบิดตัวหรือการบีบอัดที่รุนแรง ทำให้หลับลึกและตื่นมาพร้อมพลังงานเต็มเปี่ยม นอกจากนี้ เปลญวนยังช่วยลดการสะสมของความเครียดที่สะสมจากวันทำงานหรือความเครียดในชีวิตประจำวัน ผ่านการสัมผัสกับลมเย็นและแสงธรรมชาติในเวลากลางคืน ซึ่งช่วยกระตุ้นระบบประสาทพาราซิมพาเทติก ทำให้ร่างกายผ่อนคลายอย่างลึกซึ้งและลดระดับคอร์ติซอลในร่างกาย การนอนในเปลญวนยังส่งเสริมสุขภาพจิตอย่างมีนัยสำคัญ เพราะมันเชื่อมโยงกับวัฒนธรรมไทยที่ให้ความสำคัญกับการพักผ่อนอย่างมีสติ การนั่งหรือนอนในเปลญวนเป็นกิจกรรมที่ผ่อนคลายและเชื่อมโยงกับธรรมชาติ ซึ่งช่วยลดความวิตกกังวลและภาวะซึมเศร้าได้อย่างมีประสิทธิภาพ ยิ่งไปกว่านั้น เปลญวนยังทำความสะอาดง่าย ไม่ดูดซับเหงื่อหรือคราบสกปรก จึงเหมาะสำหรับผู้ที่มีปัญหาการสะสมของเชื้อโรคหรือสารเคมีจากเสื้อผ้าหรือเสื้อผ้าที่ซักไม่สะอาด การนอนในเปลญวนจึงไม่ใช่แค่การนอนหลับ แต่คือการฟื้นฟูร่างกายและจิตใจอย่างแท้จริง ทุกคืนที่เราหลับลึกและตื่นมาสดชื่น นั่นคือผลลัพธ์ของเปลญวนที่แท้จริง,['length_constraints:number_words'],False,False,[False],[False]
6,1075,คุณช่วยฉันโฆษณาผลิตภัณฑ์ใหม่ได้ไหม เป็นผ้าอ้อมที่ออกแบบมาให้สวมใส่สบายยิ่งขึ้นสำหรับเด็กทารก และฉันต้องการให้ผลลัพธ์ทั้งหมดอยู่ในรูปแบบ JSON,"{
  ""product_name"": ""ผ้าอ้อมที่สวมสบายสำหรับทารก"",
  ""tagline"": ""ผ้าอ้อมใหม่ ออกแบบมาเพื่อความสบายและปลอดภัยสำหรับทารกทุกวัย"",
  ""features"": [
    ""ผ้าอ้อมที่นุ่มเหมือนผ้าฝ้ายธรรมชาติ ไม่ระคายเคืองผิวทารก"",
    ""ออกแบบให้พับเก็บได้ง่ายและใช้งานได้นานหลายเดือน"",
    ""มีฉลากติดที่ก้นเพื่อระบุขนาดและวันที่ผลิต""
  ],
  ""target_audience"": ""ผู้ปกครองที่ใส่ใจสุขภาพผิวทารก"",
  ""tagline"": ""เลือกผ้าอ้อมที่รักลูกของคุณ""
}",['detectable_format:json_format'],True,True,[True],[True]
7,1082,เขียนเรื่องราวความยาว 2 ย่อหน้าเกี่ยวกับชายคนหนึ่งที่ตื่นขึ้นมาในวันหนึ่งและพบว่าเขาอยู่ในวิดีโอเกม แยกย่อหน้าด้วยตัวแบ่งมาร์กดาวน์: ***,"ชายคนนั้นตื่นขึ้นมาบนพื้นหญ้าสีม่วงที่เปล่งแสงอ่อนๆ รอบตัวมีต้นไม้ยักษ์ที่มีใบเป็นกระจกสะท้อนแสงแดด เขาพยายามลุกขึ้นแต่เท้าของเขาสั่นเพราะร่างกายของเขาถูกแปลงเป็นตัวละครในเกมที่มีพลังพิเศษ—เขาสามารถควบคุมจังหวะการเต้นของหัวใจได้เหมือนเครื่องเล่นจังหวะ
***
เขาเดินต่อไปอย่างระมัดระวัง จนพบเมืองที่เต็มไปด้วยรถบรรทุกสีฟ้าและต้นไม้ที่เปลี่ยนสีตามอารมณ์ เขาเห็นเพื่อนร่วมทีมที่เขาเคยเล่นในเกม แต่ตอนนี้เขาไม่ได้เล่นอีกแล้ว—เขาเป็นผู้เล่นคนใหม่ที่ถูกสร้างขึ้นเพื่อควบคุมเหตุการณ์ในเกมนี้ เขาจึงรู้ว่าวันนี้คือวันที่เขาต้องตัดสินใจว่าจะใช้พลังนี้เพื่อช่วยชีวิตหรือทำลายโลกในเกมนี้",['length_constraints:number_paragraphs'],True,True,[True],[True]
8,1092,เขียนบล็อกโพสต์สั้นๆ เกี่ยวกับการเดินทางไปญี่ปุ่นโดยใช้คำน้อยกว่า 300 คำ,การเดินทางไปยังญี่ปุ่นครั้งนี้ทำให้ฉันประทับใจมาก เพราะทุกอย่างเป็นระเบียบและมีความหมายเล็กๆ น้อยๆ ตั้งแต่การนั่งรถไฟที่สถานีชิบูย่า ไปจนถึงการกินซูชิสดๆ ที่ร้านเล็กๆ ที่ไม่ได้รับการโฆษณา ทุกอย่างล้วนทำให้ฉันรู้สึกเหมือนได้สัมผัสวัฒนธรรมที่แท้จริง ไม่ต้องรีบ ไม่ต้องกดดัน ไม่ต้องรีบกลับ แต่กลับได้อยู่กับตัวเองอย่างแท้จริง,['length_constraints:number_words'],True,True,[True],[True]
9,1094,โปรดระบุชื่อคุณแม่ที่มีชื่อเสียง 5 ท่านในรูปแบบ JSON กรุณาใช้น้ำเสียงที่น่าสนใจหรือแปลก ผลลัพธ์ทั้งหมดของคุณควรมีเพียงบล็อก JSON ไม่มีอะไรอย่างอื่น,"[""แม่ที่ทำให้ลูกเรียนเก่งที่สุดในโรงเรียน"", ""แม่ที่ทำให้ลูกนอนดึกแต่ยังตื่นมาช่วยทำอาหาร"", ""แม่ที่ทำให้ลูกกลายเป็นนักกีฬาที่เก่งที่สุดในโรงเรียน"", ""แม่ที่ทำให้ลูกกลายเป็นนักเขียนที่มีผู้ติดตามมากกว่า 10,000 คน"", ""แม่ที่ทำให้ลูกกลายเป็นศิลปินที่สร้างผลงานที่สะท้อนความรักในครอบครัว""]",['detectable_format:json_format'],True,True,[True],[True]
